id,name,types,abilities,sprite_url,hp,attack,defense,special-attack,special-defense,speed,special_category,has_mega,mega_name,mega_sprite_url,mega_types,mega_abilities,mega_hp,mega_attack,mega_defense,mega_special-attack,mega_special-defense,mega_speed,has_mega_2,mega_2_name,mega_2_sprite_url,mega_2_types,mega_2_abilities,mega_2_hp,mega_2_attack,mega_2_defense,mega_2_special-attack,mega_2_special-defense,mega_2_speed
1,bulbasaur,"grass,poison","overgrow,chlorophyll",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,45,49,49,65,65,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
2,ivysaur,"grass,poison","overgrow,chlorophyll",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,60,62,63,80,80,60,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
3,venusaur,"grass,poison","overgrow,chlorophyll",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,80,82,83,100,100,80,,TRUE,venusaur-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10033.png,"grass,poison",thick-fat,80,100,123,122,120,80,FALSE,,,,,,,,,,
4,charmander,fire,"blaze,solar-power",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,39,52,43,60,50,65,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
5,charmeleon,fire,"blaze,solar-power",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,58,64,58,80,65,80,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
6,charizard,"fire,flying","blaze,solar-power",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,78,84,78,109,85,100,,TRUE,charizard-mega-x,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10034.png,"fire,dragon",tough-claws,78,130,111,130,85,100,TRUE,charizard-mega-y,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10035.png,"fire,flying",drought,78,104,78,159,115,100
7,squirtle,water,"torrent,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,44,48,65,50,64,43,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
8,wartortle,water,"torrent,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,59,63,80,65,80,58,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
9,blastoise,water,"torrent,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,79,83,100,85,105,78,,TRUE,blastoise-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10036.png,water,mega-launcher,79,103,120,135,115,78,FALSE,,,,,,,,,,
10,caterpie,bug,"shield-dust,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,45,30,35,20,20,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
11,metapod,bug,shed-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,50,20,55,25,25,30,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
12,butterfree,"bug,flying","compound-eyes,tinted-lens",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,60,45,50,90,80,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
13,weedle,"bug,poison","shield-dust,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,40,35,30,20,20,50,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
14,kakuna,"bug,poison",shed-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,45,25,50,25,25,35,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
15,beedrill,"bug,poison","swarm,sniper",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,65,90,40,45,80,75,,TRUE,beedrill-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10090.png,"bug,poison",adaptability,65,150,40,15,80,145,FALSE,,,,,,,,,,
16,pidgey,"normal,flying","keen-eye,tangled-feet,big-pecks",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,40,45,40,35,35,56,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
17,pidgeotto,"normal,flying","keen-eye,tangled-feet,big-pecks",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,63,60,55,50,50,71,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
18,pidgeot,"normal,flying","keen-eye,tangled-feet,big-pecks",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,83,80,75,70,70,101,,TRUE,pidgeot-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10073.png,"normal,flying",no-guard,83,80,80,135,80,121,FALSE,,,,,,,,,,
19,rattata,normal,"run-away,guts,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,30,56,35,25,35,72,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
20,raticate,normal,"run-away,guts,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,55,81,60,50,70,97,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
21,spearow,"normal,flying","keen-eye,sniper",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,40,60,30,31,31,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
22,fearow,"normal,flying","keen-eye,sniper",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,65,90,65,61,61,100,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
23,ekans,poison,"intimidate,shed-skin,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,35,60,44,40,54,55,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
24,arbok,poison,"intimidate,shed-skin,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,60,95,69,65,79,80,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
25,pikachu,electric,"static,lightning-rod",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,35,55,40,50,50,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
